,Time,crash
0,31.96,1
1,34.63,0
2,37.25,0
3,39.86,0
4,42.48,0
5,45.1,0
6,47.65,1
7,50.29,1
8,52.57,0
9,54.99,0
10,57.41,0
11,59.83,0
12,62.27,0
13,64.69,0
14,67.11,0
15,69.52,0
16,71.94,0
17,74.36,0
18,76.78,0
19,79.19,0
20,81.61,0
21,84.03,0
22,86.45,0
23,88.87,0
24,91.29,0
25,93.64,1
26,96.08,1
27,98.56,0
28,100.98,0
29,103.4,0
30,105.82,0
31,108.24,0
32,110.66,0
33,113.09,0
34,115.51,0
35,117.93,0
36,120.35,0
37,122.76,0
38,125.18,0
39,127.42,0
40,129.44,0
41,131.45,0
42,133.47,0
43,135.49,0
44,137.51,0
45,139.53,0
46,141.55,0
47,143.57,0
48,145.59,0
49,147.6,0
50,149.62,0
51,151.64,0
52,153.66,0
53,155.68,0
54,157.7,0
55,159.71,0
56,168.24,0
57,170.26,0
58,172.27,0
59,174.29,0
60,176.31,0
61,178.35,0
62,180.16,0
63,181.98,0
64,183.82,0
65,185.64,0
66,187.45,0
67,189.27,0
68,191.02,1
69,192.86,1
70,194.74,0
71,196.49,1
72,198.31,1
73,200.13,1
74,202.01,0
75,203.83,0
76,205.65,0
77,207.67,0
78,209.69,0
79,211.71,0
80,213.72,0
81,215.74,0
82,217.76,0
83,219.8,0
84,221.75,1
85,223.77,1
86,225.65,0
87,227.47,0
88,229.22,1
89,231.1,0
90,232.92,0
91,234.74,0
92,236.56,0
93,238.39,0
94,240.21,0
95,242.03,0
96,243.85,0
97,245.67,0
98,247.42,1
99,249.32,0
100,251.14,0
101,252.96,0
102,254.77,0
103,256.39,0
104,257.96,1
105,259.58,1
106,261.19,1
107,262.81,1
108,264.5,0
109,266.05,1
110,267.73,0
111,269.29,1
112,270.9,1
113,272.52,1
114,274.21,0
115,275.78,1
116,277.44,0
117,279.06,0
118,280.9,0
119,282.66,1
120,284.55,0
121,286.37,0
122,288.19,0
123,289.95,1
124,291.83,0
125,293.66,0
126,295.47,0
127,297.31,0
128,299.06,1
129,300.88,1
130,302.76,0
131,304.58,0
132,306.4,0
133,308.22,0
134,310.03,0
135,311.85,0
136,313.61,1
137,315.49,0
138,317.31,0
139,330.49,0
140,332.04,1
141,333.72,0
142,335.34,0
143,336.96,0
144,338.59,0
145,340.14,1
146,341.83,0
147,343.38,1
148,345.01,1
149,346.7,0
150,348.25,1
151,349.87,1
152,351.57,0
153,353.12,1
154,354.8,0
155,356.44,0
156,357.99,1
157,359.61,1
158,361.29,0
159,362.91,0
160,364.53,0
161,366.15,0
162,367.72,1
163,369.4,0
164,370.95,1
165,372.57,1
166,374.27,0
167,375.89,0
168,377.46,1
169,379.14,0
170,380.76,0
171,382.38,0
172,384.01,0
173,385.63,0
174,387.26,0
175,388.88,0
176,390.43,1
177,392.05,1
178,393.74,0
179,395.35,0
180,396.99,0
181,398.61,0
182,400.16,1
183,401.84,0
184,403.46,0
185,405.01,1
186,406.63,1
187,408.32,0
188,409.95,0
189,411.5,1
190,413.12,1
191,414.81,0
192,416.36,1
193,417.97,1
194,419.66,0
195,421.21,1
196,422.83,1
197,424.44,1
198,426.15,0
199,427.7,1
200,429.53,1
201,431.35,1
202,433.23,0
203,435.05,0
204,436.87,0
205,438.69,0
206,440.51,0
207,442.32,0
208,444.08,1
209,445.96,0
210,447.78,0
211,449.6,0
212,451.35,1
213,453.23,0
214,455.07,0
215,456.89,0
216,458.71,0
217,460.46,1
218,462.34,0
219,464.1,1
220,465.98,0
221,467.8,0
222,469.56,1
223,471.45,0
224,484.39,0
225,486.23,0
226,488.0,1
227,489.81,1
228,491.63,1
229,493.52,0
230,495.33,0
231,497.15,0
232,498.97,0
233,500.79,0
234,502.54,1
235,504.43,0
236,506.24,0
237,508.06,0
238,509.88,0
239,511.65,1
240,513.54,0
241,515.35,0
242,517.17,0
243,518.99,0
244,520.8,0
245,522.62,0
246,524.44,0
247,526.2,1
248,528.09,0
249,529.91,0
250,531.73,0
251,533.48,1
252,535.3,1
253,537.19,0
254,539.01,0
255,540.79,1
256,542.66,0
257,544.48,0
258,546.23,1
259,548.11,0
260,549.93,0
261,551.75,0
262,553.58,0
263,555.34,1
264,557.22,0
265,559.04,0
266,560.87,0
267,562.69,0
268,564.51,0
269,566.34,0
270,568.16,0
271,569.91,1
272,571.8,0
273,573.55,1
274,575.37,1
275,577.25,0
276,579.07,0
277,580.89,0
278,582.72,0
279,584.54,0
280,586.36,0
281,588.18,0
282,590.0,0
283,591.81,0
284,593.65,0
285,595.47,0
286,597.29,0
287,599.1,0
288,600.92,0
289,602.74,0
290,604.51,1
291,606.38,0
292,608.14,1
293,610.01,0
294,611.83,0
295,613.67,0
296,615.48,0
297,617.24,1
298,619.12,0
299,620.94,0
300,622.31,0
301,622.31,0
302,622.31,0
303,622.31,0
